景点名,等级,地址,介绍,热度,价格,月销量,经度,纬度
上海海昌海洋公园,4A,浦东新区,看珍稀海洋生物 | 玩超刺激娱乐项目,0.0,291,14799,121.55045460683195,31.227348292436346
上海迪士尼乐园,,浦东新区,每个女孩都有一场迪士尼梦,0.0,325,10118,121.55045460683195,31.227348292436346
故宫,5A,东城区,世界五大宫之首，穿越与您近在咫尺,1.0,58.2,7772,116.4224009776628,39.93482727239599
成都大熊猫繁育研究基地,4A,成华区,无关黑与白， 不分胖与瘦， 可爱而又温暖,0.8,52,7044,104.10859155035178,30.665589283983017
秦始皇帝陵博物院（兵马俑）,5A,临潼区,世界第八大奇迹,0.8800000000000001,120,5547,109.22043579557668,34.372747432848406
华清宫,5A,临潼区,览盛唐宫阙，登骊山怀古，赏长恨歌舞,0.9,30,5412,109.22043579557668,34.372747432848406
长恨歌,,华清宫,中国首部大型实景历史舞剧,0.0,35,4883,109.22161886393332,34.364034472892094
颐和园,5A,海淀区,北方也有江南园林,0.82,32.3,4853,116.3054340544974,39.96548984110075
龙门水都,,西乡塘区,现代时尚水乡,0.0,40,4094,108.31957243762004,22.839651509338932
八达岭长城,5A,延庆县,一定要看那块“不到长城非好汉”碑,0.82,39.5,4053,115.98163156901515,40.46216897375426
回民街,,莲湖区,八大菜系，让您大饱口福,0.9199999999999999,0.9,3888,108.9504264491179,34.27101720305327
南山文化旅游区,5A,崖州区,108米的海上三面观音，三亚不容错过之旅,0.76,103,3870,109.16462621702625,18.37801458255951
杜甫草堂,4A,青羊区,成都地标签到处,0.86,47,3609,104.06744547494219,30.680037807006812
上海野生动物园,5A,浦东新区,全球动物聚集地 | 零距离和动物做朋友,0.72,120,3300,121.55045460683195,31.227348292436346
西岛,4A,天涯区,海上桃源，动感天堂,0.78,61,3240,109.33373151057933,18.31381209655635
都江堰,5A,都江堰市,感受都江堰水利工程的古人智慧,1.0,40,3123,103.65353360443186,30.994256893542204
天坛公园,5A,东城区,探寻古代皇帝祭天仪式的奥秘,0.8,15.9,2966,116.4224009776628,39.93482727239599
乐山大佛,5A,市中区,摩崖石刻造像,0.82,80,2933,103.76755865551674,29.561363941632962
峨眉山,5A,峨眉山市,云上金顶，天下峨眉,1.0,160,2927,103.49154557410374,29.60697552746157
东方绿舟,4A,青浦区,全国首屈一指的青少年校外教育营地,0.7,42.9,2922,121.13055310467274,31.155454317980737
南京总统府,4A,玄武区,了解中国近代史，切记勿忘国耻,0.8,29.8,2892,118.80441263574761,32.05475668294885
恭王府,5A,西城区,一起去看看和珅家,0.74,30,2876,116.37251358116619,39.91812360584148
北京野生动物园,4A,大兴区,北京郊区的一座大型自然生态动物园,0.7,145,2616,116.348625212231,39.73255523655448
上海自然博物馆,,静安区,在这里领略物种的变迁,0.7,32.7,2573,121.45343177276851,31.233844930401652
鸟巢,5A,奥林匹克公园,北京的地标，中华民族崛起的象征,0.8400000000000001,38,2445,116.39920583108967,39.999244918734384
八达岭长城缆车,,八达岭长城,巍峨雄伟尽收眼底,0.0,140,2405,116.01081796418708,40.36417206647983
华山景区,5A,华阴市,只有天在上，更无山与齐,1.0,80,2193,110.09860075703762,34.57180015875299
普陀山风景区,5A,普陀区,人间清净地 | 朝圣看日出,1.0,160,2148,121.40356934916508,31.254973368279597
青城山,5A,都江堰市,青城山下白素贞，洞中千年修此身,0.96,78,2136,103.65353360443186,30.994256893542204
黄鹤楼,5A,武昌区,孤帆远影碧空尽，唯见长江天际流,1.0,65,2121,114.32254851755089,30.559566983522483
拙政园,5A,平江区,庭院错落，花木为胜，天下园林之典范,1.0,70,2090,120.62345497310153,31.341831300992645
蜈支洲岛,5A,海棠区,私人订制主取景地,0.86,133,2087,109.7381437103575,18.321502829327365
云南民族村,4A,西山区,体验云南多个种族的文化沉淀,0.78,79,2063,102.67155712350362,25.043198760946844
牛首山文化旅游区,4A,江宁区,佛教牛头禅的发祥地,0.0,85,2055,118.84656705909214,31.958526869176943
圆明园,5A,海淀区,追忆昔日万园之园,0.76,10,1958,116.3054340544974,39.96548984110075
重庆梦幻岛欢动世界,,九龙坡区,重庆梦幻岛欢动世界是一个富有诗情画意，同时兼具梦幻与现实，欢乐与童趣的国度，离你并不太远。近日揭晓的主题园区——重庆梦幻,0.0,2.9,1932,106.51755873943073,29.50792771555286
三星堆博物馆,4A,广汉市,20世纪人类的考古发现,1.0,65,1922,104.28842189310545,30.9824152397429
北京动物园,4A,西城区,百余种动物，让你离自然更近,0.72,16.9,1876,116.37251358116619,39.91812360584148
成都海昌极地海洋公园,4A,双流区,一天游南北极，来了才知海洋多奇妙,0.0,168,1874,103.93039154226817,30.580399352821136
上海科技馆,5A,浦东新区,魔都科普教育殿堂 | 周末遛娃圣地,0.74,45,1780,121.55045460683195,31.227348292436346
陕西历史博物馆,4A,雁塔区,在这里，见证中华文明,0.9199999999999999,65,1766,108.95144045637755,34.220635239985896
九寨沟,5A,九寨沟县,传说中的童话天堂，你还在犹豫么,1.0,259,1762,104.24954673402509,33.257591509496066
湖南省博物馆,4A,开福区,湖南省博物馆馆藏文物丰富,0.96,15,1744,112.99258491763867,28.261378687684147
上海动物园,4A,长宁区,大型城市动物园 | 620余种可爱动物,0.72,39.6,1608,121.43045437545099,31.226847968225428
成都动物园,,成华区,绿树成荫、湖光潋滟、鸟语花香、风景诱人,0.7,20,1604,104.10859155035178,30.665589283983017
上海中心大厦上海之巅观光厅,,浦东新区,超高层地标式摩天大楼,0.0,157.7,1492,121.55045460683195,31.227348292436346
鹿回头风景区,4A,吉阳区,天南旅行乡，鹿回头爱情的圣地,0.8,33,1414,109.52055165827497,18.25705766726178
亚龙湾热带天堂森林公园,4A,吉阳区,《非诚勿扰II》《亲爱的，热爱的》取景地,0.8,130,1406,109.52055165827497,18.25705766726178
东方明珠,5A,浦东新区,感受云端漫步，品味老上海风情,0.76,54,1372,121.55045460683195,31.227348292436346
布达拉宫,5A,城关区,朝圣者的天堂,1.0,35,1370,103.83147490052859,36.0631814753695
张家界国家森林公园,5A,武陵源区,三千奇峰，八百秀水,0.9400000000000001,209.9,1368,110.55749894540386,29.35168113667119
珠海长隆海洋王国,,珠海长隆国际海洋度假区,经历一场难忘的深海历奇之旅,0.0,238,1354,113.54654459324371,22.104990286458907
长隆水上乐园,5A,广州长隆旅游度假区,全球必去的水上乐园,0.72,133,1336,113.33183897642488,23.00580901761349
天门山国家森林公园,5A,永定区,穿越云霄的旅行,0.82,232,1320,116.73850038791583,24.73010753217897
武汉海昌极地海洋公园,4A,东西湖区,极地海洋主题公园，不一样的极地世界,0.0,215,1304,114.14345873785965,30.625919818109203
灵山大佛,5A,灵山胜境,观释迦牟尼佛青铜立像，赏佛教胜景,1.0,134.8,1304,109.29747796631128,22.42241332670075
西溪国家湿地公园,5A,西湖区,游《非诚勿扰》拍摄地，感受湿地水乡浪漫,0.0,54.9,1300,115.88353569365187,28.661976709900657
龙门石窟,5A,洛龙区,世界文化遗产 中国石刻艺术宝库,1.0,90,1290,112.47046928828706,34.62470471302437
中华恐龙园,5A,环球恐龙城,穿越“东方侏罗纪” | 带娃一起去冒险,0.74,250,1280,120.00606010626814,31.828145565194255
杭州宋城,,杭州,杭州宋城是中国大陆人气超旺的主题公园,0.0,300,1264,120.21551180372168,30.25308298169347
古北水镇,,密云县,司马台长城脚下的北方小镇,0.0,140,1264,116.84954704426833,40.38217565813752
明十三陵,5A,昌平区,气势磅礴的陵寝建筑群,0.72,30,1262,116.23761791731043,40.22641337159427
涠洲岛,4A,海城区,秀美的火山岛，感受渔家风情,0.9199999999999999,98,1252,109.12452136754654,21.481065838235963
仙居谷,,密云县,传说是仙女沐浴的地方,0.7,30,1240,116.84954704426833,40.38217565813752
黄腾峡漂流,4A,清城区,到“小九寨”体验“漂流之王”,0.74,98,1240,113.06947663536754,23.704022037924876
天涯海角,4A,天涯区,天之涯海之角，爱就陪Ta到天涯海角,0.9,49,1230,109.33373151057933,18.31381209655635
古龙峡漂流,4A,清新区,广东漂流看清远，清远漂流看古龙,0.76,148,1230,112.9915577951189,23.75427033709297
重庆动物园,4A,九龙坡区,走进动物世界，感受大自然其乐无穷,0.7,24.5,1154,106.51755873943073,29.50792771555286
亚特兰蒂斯水世界,,三亚亚特兰蒂斯度假区,具有创造力和吸引力的娱乐休闲水世界,0.0,99,1150,109.75058003149464,18.360338002105014
乌镇,5A,桐乡市,鱼米之乡，丝绸之府,1.0,110,1134,120.57154315530762,30.63631118771037
泰山,5A,泰山区,会当凌绝顶，一览纵山小,1.0,114.8,1134,121.42689911028057,25.05911957639311
亚特兰蒂斯失落的空间水族馆,,三亚亚特兰蒂斯度假区,失落的空间水族馆邀您一同揭开千年之谜,0.0,183.4,1124,109.75058003149464,18.360338002105014
三亚千古情,,河东区,给我一个小时，带你穿越千年,0.0,280,1114,117.25841295306803,39.134487325955114
鼓浪屿,5A,思明区,琴之岛，乐之屿,0.9800000000000001,41.7,1100,118.08840797224036,24.45194839567105
西江千户苗寨,4A,雷山县,游览千户苗寨，感受苗族风情,1.0,110,1090,108.08452891457038,26.384205121689497
